,Domain,Course,Similarity
111,Administrative,CSE 216,0.059293491882272065
112,Sales Operations,CSE 216,0.04747773934569624
113,Developer Relations,CSE 216,0.04623033473682073
114,Sales & Account Management,CSE 216,0.024656614754348993
115,Hardware Engineering,CSE 220,0.1869570489041507
116,Finance,CSE 220,0.14687529858201742
117,Technical Solutions,CSE 220,0.1439929472282529
118,Technical Writing,CSE 220,0.13212930765002967
119,Partnerships,CSE 220,0.1227130139246583
120,Real Estate & Workplace Services,CSE 220,0.1227130139246583
121,IT & Data Management,CSE 220,0.12061120779253542
122,Program Management,CSE 220,0.11982722524553538
123,Data Center & Network,CSE 220,0.11796937766484916
124,Network Engineering,CSE 220,0.1138250244781375
125,User Experience & Design,CSE 220,0.10814635787974111
126,Technical Infrastructure,CSE 220,0.10268579369876533
127,Marketing & Communications,CSE 220,0.09691773494705558
128,Software Engineering,CSE 220,0.0951166714541614
129,People Operations,CSE 220,0.09356577061116696
130,Legal & Government Relations,CSE 220,0.08947365150088445
131,Manufacturing & Supply Chain,CSE 220,0.08221289271023124
132,Business Strategy,CSE 220,0.07804962310474366
133,Product & Customer Support,CSE 220,0.07164467451802921
134,Administrative,CSE 220,0.07002998393436428
135,Sales Operations,CSE 220,0.06837048328015953
136,Sales & Account Management,CSE 220,0.047243272252671886
137,Developer Relations,CSE 220,0.046820511622354385
138,Program Management,CSE 300,0.1300522322382997
139,IT & Data Management,CSE 300,0.12026540992562385
140,Data Center & Network,CSE 300,0.11482160735656233
141,Legal & Government Relations,CSE 300,0.11286149425979923
142,User Experience & Design,CSE 300,0.10185074181679417
143,Technical Writing,CSE 300,0.0992516551495475
144,Partnerships,CSE 300,0.09617437454118558
145,Real Estate & Workplace Services,CSE 300,0.09617437454118558
146,Software Engineering,CSE 300,0.09452481252853484
147,Technical Solutions,CSE 300,0.0928472438827157
148,Marketing & Communications,CSE 300,0.09098878174143679
149,Network Engineering,CSE 300,0.09065901164842002
150,Finance,CSE 300,0.08400436739697505
151,Hardware Engineering,CSE 300,0.08353456046760958
152,Technical Infrastructure,CSE 300,0.07959816593895941
153,Business Strategy,CSE 300,0.0776999042410513
154,Manufacturing & Supply Chain,CSE 300,0.07107990484356004
155,People Operations,CSE 300,0.07038557096658384
156,Sales Operations,CSE 300,0.06355266629115623
157,Administrative,CSE 300,0.04528943493085749
158,Sales & Account Management,CSE 300,0.037912224905620164
159,Product & Customer Support,CSE 300,0.03267245876657612
160,Developer Relations,CSE 300,0.004382463391212856
161,Hardware Engineering,CSE 301,0.17688797984737903
162,Network Engineering,CSE 301,0.1529885945492424
163,Technical Writing,CSE 301,0.13582231249893084
164,Program Management,CSE 301,0.13074679719284177
165,Technical Solutions,CSE 301,0.12879492668434978
166,Data Center & Network,CSE 301,0.127551752688305
167,User Experience & Design,CSE 301,0.11327746568713337
168,IT & Data Management,CSE 301,0.11247719787024835
169,Business Strategy,CSE 301,0.10850715939886868
170,Partnerships,CSE 301,0.09512252041895408
171,Real Estate & Workplace Services,CSE 301,0.09512252041895408
172,People Operations,CSE 301,0.08914830129651818
173,Technical Infrastructure,CSE 301,0.0876143956265878
174,Marketing & Communications,CSE 301,0.08749288690160029
175,Software Engineering,CSE 301,0.08670922322198749
176,Finance,CSE 301,0.08177737213554792
177,Legal & Government Relations,CSE 301,0.08064725820440799
178,Product & Customer Support,CSE 301,0.07919730257708579
179,Manufacturing & Supply Chain,CSE 301,0.0715897344489349
180,Developer Relations,CSE 301,0.058115154504776
181,Administrative,CSE 301,0.05709259363356978
182,Sales Operations,CSE 301,0.052283560658906936
183,Sales & Account Management,CSE 301,0.025971015769755468
184,Legal & Government Relations,CSE 303,0.14014771273359655
185,User Experience & Design,CSE 303,0.12472551995888352
186,IT & Data Management,CSE 303,0.11361534232273698
187,Technical Writing,CSE 303,0.11251960932277143
188,Data Center & Network,CSE 303,0.1050750087480992
189,Software Engineering,CSE 303,0.10402421057224273
190,Program Management,CSE 303,0.10364987999200821
191,Hardware Engineering,CSE 303,0.10095852091908455
192,Business Strategy,CSE 303,0.09966057455167174
193,Partnerships,CSE 303,0.09619377656490542
194,Real Estate & Workplace Services,CSE 303,0.09619377656490542
195,Finance,CSE 303,0.08892693821107969
196,Technical Solutions,CSE 303,0.0873740741983056
197,Technical Infrastructure,CSE 303,0.08557490187231451
198,People Operations,CSE 303,0.08013782873749734
199,Network Engineering,CSE 303,0.06943034124560654
200,Manufacturing & Supply Chain,CSE 303,0.06880424350965768
201,Marketing & Communications,CSE 303,0.06776564866304398
202,Product & Customer Support,CSE 303,0.061603255849331615
203,Sales Operations,CSE 303,0.0457160898251459
204,Administrative,CSE 303,0.04302961333887652
205,Developer Relations,CSE 303,0.028895100019872187
206,Sales & Account Management,CSE 303,0.02320726034231484
207,Technical Writing,CSE 304,0.13686279955283298
208,IT & Data Management,CSE 304,0.13411438646481225
209,Technical Solutions,CSE 304,0.12107857434373152
210,Hardware Engineering,CSE 304,0.1147972923017254
211,Business Strategy,CSE 304,0.11413784256499064
212,Data Center & Network,CSE 304,0.11114847836525817
213,User Experience & Design,CSE 304,0.1052256043093573
214,Administrative,CSE 304,0.1011022949885381
215,Program Management,CSE 304,0.09114975536144093
216,Partnerships,CSE 304,0.08523454776303352
217,Real Estate & Workplace Services,CSE 304,0.08523454776303352
218,Legal & Government Relations,CSE 304,0.07958797198769293
219,Marketing & Communications,CSE 304,0.07363918855002052
220,Software Engineering,CSE 304,0.0681161442771554
221,Network Engineering,CSE 304,0.0648538701138214
222,Sales & Account Management,CSE 304,0.06441930284429538
223,Finance,CSE 304,0.0637080532615073
224,People Operations,CSE 304,0.06291462462640514
225,Technical Infrastructure,CSE 304,0.062113962699904254
226,Sales Operations,CSE 304,0.062046892548862254
227,Manufacturing & Supply Chain,CSE 304,0.054849357148142236
228,Product & Customer Support,CSE 304,0.04704289592949575
229,Developer Relations,CSE 304,0.03809235161660533
230,Hardware Engineering,CSE 306,0.1749522764649656
231,Technical Writing,CSE 306,0.16448441525507304
232,User Experience & Design,CSE 306,0.14264871490498385
233,Technical Solutions,CSE 306,0.1407722406503227
234,Data Center & Network,CSE 306,0.13757154987090164
235,IT & Data Management,CSE 306,0.134347436328729
236,Program Management,CSE 306,0.13308487915330464
237,Partnerships,CSE 306,0.12851794943627384
238,Real Estate & Workplace Services,CSE 306,0.12851794943627384
239,Finance,CSE 306,0.12342102442764574
240,Technical Infrastructure,CSE 306,0.12172163924616244
241,Network Engineering,CSE 306,0.12038455712091592
242,Marketing & Communications,CSE 306,0.11805635157765614
243,Software Engineering,CSE 306,0.11100341938436031
244,Business Strategy,CSE 306,0.08916168654751447
245,People Operations,CSE 306,0.0887236874550581
246,Manufacturing & Supply Chain,CSE 306,0.08525587926204833
247,Legal & Government Relations,CSE 306,0.07269711976146533
248,Administrative,CSE 306,0.06417411451628949
249,Product & Customer Support,CSE 306,0.06296089585197882
250,Sales & Account Management,CSE 306,0.05890802159168137
251,Developer Relations,CSE 306,0.05783011829286503
252,Sales Operations,CSE 306,0.05571765588441243
253,Data Center & Network,CSE 307,0.11703797327354551
254,User Experience & Design,CSE 307,0.1145465636625886
255,IT & Data Management,CSE 307,0.11334984321147204
256,Technical Solutions,CSE 307,0.10554264355450868
257,Technical Writing,CSE 307,0.10427243211306632
258,Partnerships,CSE 307,0.09921521162868885
259,Real Estate & Workplace Services,CSE 307,0.09921521162868885
260,Hardware Engineering,CSE 307,0.09415877923602238
261,Program Management,CSE 307,0.09393949143122882
262,Legal & Government Relations,CSE 307,0.08637323076836764
263,Technical Infrastructure,CSE 307,0.08204657933674753
264,Software Engineering,CSE 307,0.07985218925750814
265,Administrative,CSE 307,0.0744636708550388
266,Marketing & Communications,CSE 307,0.07403645645827055
267,Network Engineering,CSE 307,0.07350293076597154
268,Finance,CSE 307,0.07099434828851373
269,Business Strategy,CSE 307,0.07042404217645526
270,People Operations,CSE 307,0.07036945009604097
271,Manufacturing & Supply Chain,CSE 307,0.06189528529066592
272,Product & Customer Support,CSE 307,0.05446614579996094
273,Sales Operations,CSE 307,0.050368235365021975
274,Sales & Account Management,CSE 307,0.03777273546438664
275,Developer Relations,CSE 307,0.015566174453124405
276,Network Engineering,CSE 310,0.21208931165747344
277,Hardware Engineering,CSE 310,0.17480959389358758
278,Program Management,CSE 310,0.12333738296292722
279,Technical Writing,CSE 310,0.12048727618530393
280,Finance,CSE 310,0.11036699134856462
281,Technical Solutions,CSE 310,0.10998057033866644
282,Marketing & Communications,CSE 310,0.1081266822759062
283,IT & Data Management,CSE 310,0.10686412559589371
284,Product & Customer Support,CSE 310,0.10529005071148276
285,Partnerships,CSE 310,0.10519242482259869
286,Real Estate & Workplace Services,CSE 310,0.10519242482259869
287,Business Strategy,CSE 310,0.10208301325328648
288,Technical Infrastructure,CSE 310,0.09422410859260708
289,Data Center & Network,CSE 310,0.09116202075965703
290,User Experience & Design,CSE 310,0.0869580106344074
291,Legal & Government Relations,CSE 310,0.0866240686737001
292,Software Engineering,CSE 310,0.08178900703787803
293,People Operations,CSE 310,0.07813982050865889
294,Developer Relations,CSE 310,0.06420233807293699
295,Manufacturing & Supply Chain,CSE 310,0.0596541445935145
296,Administrative,CSE 310,0.054655213106889276
297,Sales Operations,CSE 310,0.05417854283004999
298,Sales & Account Management,CSE 310,0.029369221649540124
299,Hardware Engineering,CSE 311,0.28516707240810824
300,Network Engineering,CSE 311,0.1974353890141679
301,Technical Writing,CSE 311,0.18079664713392654
302,Marketing & Communications,CSE 311,0.15073402978790304
303,Partnerships,CSE 311,0.1502408123924397
304,Real Estate & Workplace Services,CSE 311,0.1502408123924397
305,Program Management,CSE 311,0.14974306968765128
306,Technical Solutions,CSE 311,0.14173410382742682
307,Business Strategy,CSE 311,0.1278371516511672
308,Data Center & Network,CSE 311,0.12565002704246175
309,IT & Data Management,CSE 311,0.12189455149281356
310,Product & Customer Support,CSE 311,0.11904088231838411
311,Software Engineering,CSE 311,0.1164285774446196
312,Finance,CSE 311,0.11090873786856213
313,User Experience & Design,CSE 311,0.10950184251285261
314,Technical Infrastructure,CSE 311,0.10948017834582263
315,Manufacturing & Supply Chain,CSE 311,0.09548290686992307
316,People Operations,CSE 311,0.08201936146037446
317,Developer Relations,CSE 311,0.08155708485800359
318,Legal & Government Relations,CSE 311,0.08108038051674764
319,Sales Operations,CSE 311,0.05725992802116606
320,Administrative,CSE 311,0.05226536976988427
321,Sales & Account Management,CSE 311,0.049728116667312056
322,Legal & Government Relations,CSE 312,0.14701718856629573
323,Program Management,CSE 312,0.138981552108338
324,Data Center & Network,CSE 312,0.13842157313698217
325,User Experience & Design,CSE 312,0.12869683371268606
326,Software Engineering,CSE 312,0.10890455602815277
327,IT & Data Management,CSE 312,0.10753633111323181
328,Hardware Engineering,CSE 312,0.107313698402753
329,Partnerships,CSE 312,0.10729693126325544
330,Real Estate & Workplace Services,CSE 312,0.10729693126325544
331,Technical Writing,CSE 312,0.10276817123552687
332,Technical Solutions,CSE 312,0.10031056904086941
333,Technical Infrastructure,CSE 312,0.09818910839232176
334,Marketing & Communications,CSE 312,0.09726626720083387
335,People Operations,CSE 312,0.09401308803966171
