,Domain,Course,Similarity
87,"Enterprise Customer Development Representative, Google Cloud (Italian)",CSE 101,0.12029157264623791
88,"Enterprise Customer Development Representative, Google Cloud (Nordics)",CSE 101,0.12029157264623791
89,"Enterprise Customer Development Representative, Google Cloud (Spanish)",CSE 101,0.12029157264623791
90,"Manager, Sales Compensation Design and Compensation Partner",CSE 101,0.12029157264623791
91,Online Sales Account Manager (Spanish),CSE 101,0.12029157264623791
92,SOX Ads Revenue Analyst,CSE 101,0.12029157264623791
93,"Strategic Relationships Project Manager, Consumer Hardware",CSE 101,0.12029157264623791
94,"Strategy and Business Analyst, Go-to-Market, Google Marketing Solutions",CSE 101,0.12029157264623791
95,"Technical Account Manager, Google Technical Services Global Customer Care (English, Japanese)",CSE 101,0.12029157264623791
96,UX Writer,CSE 101,0.12029157264623791
97,"Product Marketing Manager, YouTube",CSE 101,0.11952909603714942
98,"Global Campaigns Manager, Google Cloud (Apigee)",CSE 101,0.1165644506458193
99,"Global Technical Alliance Manager, Strategic Consultative Partnerships",CSE 101,0.11630179018247873
100,"Mobile Apps Technical Specialist, Online Partnership Group (English and Vietnamese or Hindi)",CSE 101,0.116215153853409
101,Staffing Manager,CSE 101,0.116215153853409
102,"Global Supply Chain Manager, Packaging",CSE 101,0.11620938125997782
103,"Associate Legal Counsel, Commercial, Google Cloud",CSE 101,0.1154625497525558
104,"Program Manager, Google Cloud Regulatory Market",CSE 101,0.1154625497525558
105,"Sales Engineer, Google Cloud",CSE 101,0.1154625497525558
106,"Communications Manager, Search",CSE 101,0.11536571104079485
107,"Data Analyst, Trust and Safety",CSE 101,0.11505066477693618
108,"Technical Specialist, Shopping, Google Professional Services (French)",CSE 101,0.11443463060422801
109,Associate Product Marketing Manager,CSE 101,0.1143533137626946
110,"Associate, Business Operations and Strategy",CSE 101,0.1143533137626946
111,DoubleClick Search Lead (Full-time/Part-time),CSE 101,0.1143533137626946
112,"Strategic Partner Manager (Technical), Channel Sales",CSE 101,0.1143533137626946
113,"User Engagement Strategy Manager, Google Technical Services, Scaled Engagement and Learning",CSE 101,0.1143533137626946
114,Alphabet Corporate Accounting Manager,CSE 101,0.11422768733464181
115,"Legal and Policy Operations Specialist (English and Korean), YouTube",CSE 101,0.11422768733464181
116,"Product Marketing Manager, Apigee Google Cloud Platform",CSE 101,0.11422768733464181
117,SAP Alphabet Senior Accountant,CSE 101,0.11422768733464181
118,UX Program Manager,CSE 101,0.11422768733464181
